Unnamed: 0,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Response Length,Topsis Score,Rank
microsoft/DialoGPT-medium,0.0,0.1895743145743146,0.0897659709044908,0.1663419913419913,15.8,0.5418891841709195,2.0
Pi3141/DialoGPT-medium-elon-2,0.0,0.1480788274905921,0.0553781421944114,0.1285502079619726,24.8,0.4327864905768407,4.0
microsoft/DialoGPT-large,0.0,0.2082498487748692,0.0818871830257029,0.1415392646729808,20.6,0.6505438536876134,1.0
microsoft/DialoGPT-small,0.0,0.1877113237639553,0.077347670250896,0.1545374800637958,15.8,0.43780552047395627,3.0
satvikag/chatbot,0.0,0.1858438858438858,0.0694283223315481,0.1532098532098532,17.6,0.4086807644229265,5.0
